p_i,p_m,diff_p^(n-2),dp^(n-1),diff_p^(n-1),dp^(n),diff_p^(n),target
1.0,530461.831640802,475895.41662911704,0.595440738227254,473751.8299714989,0.5885563007813632,471633.027288686,0.5819052581911092
1.0,532533.5405914,473751.8299714989,0.5885563007813632,471633.027288686,0.5819052581911092,469538.168359198,0.5754747084994516
1.0,534582.850402542,471633.027288686,0.5819052581911092,469538.168359198,0.5754747084994516,467466.4594086,0.5692527253172335
1.0,536610.472155484,469538.168359198,0.5754747084994516,467466.4594086,0.5692527253172335,465417.14959745796,0.5632282647061059
1.0,538617.0800530821,467466.4594086,0.5692527253172335,465417.14959745796,0.5632282647061059,463389.527844516,0.5573910826661288
1.0,540603.3140356661,465417.14959745796,0.5632282647061059,463389.527844516,0.5573910826661288,461382.9199469179,0.5517316618288816
1.0,542569.782161881,463389.527844516,0.5573910826661288,461382.9199469179,0.5517316618288816,459396.68596433394,0.5462411461708123
1.0,544517.0627796811,461382.9199469179,0.5517316618288816,459396.68596433394,0.5462411461708123,457430.217838119,0.5409112827222432
1.0,546445.706509566,459396.68596433394,0.5462411461708123,457430.217838119,0.5409112827222432,455482.93722031894,0.5357343694124979
1.0,548356.238059442,457430.217838119,0.5409112827222432,455482.93722031894,0.5357343694124979,453554.29349043395,0.5307032082988816
1.0,550249.1578881739,455482.93722031894,0.5357343694124979,453554.29349043395,0.5307032082988816,451643.761940558,0.5258110635366433
1.0,552124.943732898,453554.29349043395,0.5307032082988816,451643.761940558,0.5258110635366433,449750.84211182606,0.5210516235344564
1.0,553984.052013428,451643.761940558,0.5258110635366433,449750.84211182606,0.5210516235344564,447875.056267102,0.5164189668138796
1.0,555826.919125585,449750.84211182606,0.5210516235344564,447875.056267102,0.5164189668138796,446015.94798657205,0.5119075311547365
1.0,557653.962633957,447875.056267102,0.5164189668138796,446015.94798657205,0.5119075311547365,444173.080874415,0.507512085658899
1.0,559465.582373454,446015.94798657205,0.5119075311547365,444173.080874415,0.507512085658899,442346.03736604296,0.5032277054158233
1.0,561262.16146802,444173.080874415,0.507512085658899,442346.03736604296,0.5032277054158233,440534.417626546,0.4990497484905387
1.0,563044.067273977,442346.03736604296,0.5032277054158233,440534.417626546,0.4990497484905387,438737.83853198006,0.4949738349880661
1.0,564811.652254702,440534.417626546,0.4990497484905387,438737.83853198006,0.4949738349880661,436955.932726023,0.4909958279791883
1.0,566565.254792654,438737.83853198006,0.4949738349880661,436955.932726023,0.4909958279791883,435188.34774529794,0.4871118160977494
1.0,568305.199944149,436955.932726023,0.4909958279791883,435188.34774529794,0.4871118160977494,433434.74520734604,0.48331809763751354
1.0,570031.800141778,435188.34774529794,0.4871118160977494,433434.74520734604,0.48331809763751354,431694.800055851,0.47961116600804315
1.0,571745.35584884,433434.74520734604,0.48331809763751354,431694.800055851,0.47961116600804315,429968.19985822204,0.4759876964061146
1.0,573446.156169777,431694.800055851,0.47961116600804315,429968.19985822204,0.4759876964061146,428254.64415116,0.47244453359362926
1.0,575134.479420207,429968.19985822204,0.4759876964061146,428254.64415116,0.47244453359362926,426553.84383022296,0.46897868067498266
1.0,576810.593659802,428254.64415116,0.47244453359362926,426553.84383022296,0.46897868067498266,424865.520579793,0.4655872887763932
1.0,578474.757190982,426553.84383022296,0.46897868067498266,424865.520579793,0.4655872887763932,423189.406340198,0.46226764755000155
1.0,580127.219026095,424865.520579793,0.4655872887763932,423189.406340198,0.46226764755000155,421525.242809018,0.4590171764202791
1.0,581768.219325541,423189.406340198,0.46226764755000155,421525.242809018,0.4590171764202791,419872.780973905,0.4558334165127922
1.0,583397.989809059,421525.242809018,0.4590171764202791,419872.780973905,0.4558334165127922,418231.78067445895,0.45271402319941745
1.0,585016.7541422021,419872.780973905,0.4558334165127922,418231.78067445895,0.45271402319941745,416602.01019094104,0.4496567592064255
1.0,586624.728299864,418231.78067445895,0.45271402319941745,416602.01019094104,0.4496567592064255,414983.2458577979,0.44665948823941615
1.0,588222.12090854,416602.01019094104,0.4496567592064255,414983.2458577979,0.44665948823941615,413375.271700136,0.4437201690766637
1.0,589809.1335688729,414983.2458577979,0.44665948823941615,413375.271700136,0.4437201690766637,411777.87909146,0.44083685009248763
1.0,591385.961159911,413375.271700136,0.4437201690766637,411777.87909146,0.44083685009248763,410190.86643112707,0.4380076641772434
1.0,592952.792126358,411777.87909146,0.44083685009248763,410190.86643112707,0.4380076641772434,408614.038840089,0.43523082401305957
1.0,594509.808750027,410190.86643112707,0.4380076641772434,408614.038840089,0.43523082401305957,407047.207873642,0.43250461768582077
1.0,596057.1874065821,408614.038840089,0.43523082401305957,407047.207873642,0.43250461768582077,405490.191249973,0.42982740459863433
1.0,597595.098808573,407047.207873642,0.43250461768582077,405490.191249973,0.42982740459863433,403942.81259341794,0.4271976116641438
1.0,599123.708235694,405490.191249973,0.42982740459863433,403942.81259341794,0.4271976116641438,402404.901191427,0.42461372975583395
1.0,600643.17575311,403942.81259341794,0.4271976116641438,402404.901191427,0.42461372975583395,400876.291764306,0.4220743103933314
1.0,602153.656418647,402404.901191427,0.42461372975583395,400876.291764306,0.4220743103933314,399356.82424689,0.4195779626491842
1.0,603655.3004795529,400876.291764306,0.4220743103933314,399356.82424689,0.4195779626491842,397846.34358135296,0.41712335025164066
1.0,605148.253559515,399356.82424689,0.4195779626491842,397846.34358135296,0.41712335025164066,396344.69952044706,0.4147091888783487
1.0,606632.656836532,397846.34358135296,0.41712335025164066,396344.69952044706,0.4147091888783487,394851.746440485,0.4123342436158499
1.0,608108.6472122329,396344.69952044706,0.4147091888783487,394851.746440485,0.4123342436158499,393367.34316346794,0.4099973265835757
1.0,609576.357473142,394851.746440485,0.4123342436158499,393367.34316346794,0.4099973265835757,391891.3527877671,0.40769729469695853
1.0,611035.9164444071,393367.34316346794,0.4099973265835757,391891.3527877671,0.40769729469695853,390423.642526858,0.40543304757363835
1.0,612487.449136415,391891.3527877671,0.40769729469695853,390423.642526858,0.40543304757363835,388964.0835555929,0.4032035255577648
1.0,613931.076884742,390423.642526858,0.40543304757363835,388964.0835555929,0.4032035255577648,387512.55086358497,0.4010077078686057
1.0,615366.917483801,388964.0835555929,0.4032035255577648,387512.55086358497,0.4010077078686057,386068.923115258,0.3988446108497252
