p_i,time,p_m
1.99526231496888,39600,435672.944975626
1.99526231496888,43200,439794.692581834
1.99526231496888,46800,443747.990326813
1.99526231496888,50400,447551.944197599
1.99526231496888,54000,451222.300266947
1.99526231496888,57600,454772.217953952
1.99526231496888,61200,458212.828493603
1.99526231496888,64800,461553.647326185
1.99526231496888,68400,464802.884559316
1.99526231496888,72000,467967.682700338
1.99526231496888,75600,471054.301458687
1.99526231496888,79200,474068.263346444
1.99526231496888,82800,477014.469785726
1.99526231496888,86400,479897.294711822
1.99526231496888,90000,482720.660784146
1.99526231496888,93600,485488.101998862
1.99526231496888,97200,488202.815556144
1.99526231496888,100800,490867.705153511
1.99526231496888,104400,493485.417376382
1.99526231496888,108000,496058.372485188
1.99526231496888,111600,498588.790618832
1.99526231496888,115200,501078.714221955
1.99526231496888,118800,503530.027340543
1.99526231496888,122400,505944.472304306
1.99526231496888,126000,508323.664215751
1.99526231496888,129600,510669.103588398
1.99526231496888,133200,512982.187415097
1.99526231496888,136800,515264.218898372
1.99526231496888,140400,517516.416035222
1.99526231496888,144000,519739.919216976
1.99526231496888,147600,521935.797978784
1.99526231496888,151200,524105.057012131
1.99526231496888,154800,526248.641536315
1.99526231496888,158400,528367.442110362
1.99526231496888,162000,530462.298954914
1.99526231496888,165600,532534.005843616
1.99526231496888,169200,534583.313615155
1.99526231496888,172800,536610.933350079
1.99526231496888,176400,538617.539250574
1.99526231496888,180000,540603.771256332
1.99526231496888,183600,542570.237425394
1.99526231496888,187200,544517.516105137
1.99526231496888,190800,546446.157915513
1.99526231496888,194400,548356.687563908
1.99526231496888,198000,550249.605508686
1.99526231496888,201600,552125.389486509
1.99526231496888,205200,553984.495916737
1.99526231496888,208800,555827.361194756
1.99526231496888,212400,557654.402884739
1.99526231496888,216000,559466.020821197
1.99526231496888,219600,561262.598127694
1.99526231496888,223200,563044.502160185
1.99526231496888,226800,564812.085381698
1.99526231496888,230400,566565.686174353
1.99526231496888,234000,568305.629594145
1.99526231496888,237600,570032.228073352
1.99526231496888,241200,571745.782074975
1.99526231496888,244800,573446.580703167
1.99526231496888,248400,575134.902273271
1.99526231496888,252000,576811.014844691
1.99526231496888,255600,578475.17671959
1.99526231496888,259200,580127.636910068
1.99526231496888,262800,581768.635576288
1.99526231496888,266400,583398.404437755
1.99526231496888,270000,585017.167159801
1.99526231496888,273600,586625.139717105
1.99526231496888,277200,588222.530735955
1.99526231496888,280800,589809.541816792
1.99526231496888,284400,591386.367838472
1.99526231496888,288000,592953.197245509
1.99526231496888,291600,594510.212319537
1.99526231496888,295200,596057.589436043
1.99526231496888,298800,597595.499307407
1.99526231496888,302400,599124.107213159
1.99526231496888,306000,600643.573218305
1.99526231496888,309600,602154.052380516
1.99526231496888,313200,603655.694946891
1.99526231496888,316800,605148.646540971
1.99526231496888,320400,606633.048340616
1.99526231496888,324000,608109.037247318
1.99526231496888,327600,609576.746047469
1.99526231496888,331200,611036.303566088
1.99526231496888,334800,612487.834813439
1.99526231496888,338400,613931.461124976
1.99526231496888,342000,615367.300294996
1.99526231496888,345600,616795.466704359
1.99526231496888,349200,618216.071442624
1.99526231496888,352800,619629.222424889
1.99526231496888,356400,621035.024503654
1.99526231496888,360000,622433.579575958
2.23872113856834,3600,370927.042617065
2.23872113856834,7200,382503.663866106
2.23872113856834,10800,391386.717780105
2.23872113856834,14400,398875.478642954
2.23872113856834,18000,405473.209409868
2.23872113856834,21600,411438.013963423
2.23872113856834,25200,416923.217848877
2.23872113856834,28800,422028.721141033
2.23872113856834,32400,426823.914668843
2.23872113856834,36000,431359.321472489
2.23872113856834,39600,435673.082366301
2.23872113856834,43200,439794.828969031
2.23872113856834,46800,443748.125751543
2.23872113856834,50400,447552.078696222
2.23872113856834,54000,451222.433871987
2.23872113856834,57600,454772.350694731
2.23872113856834,61200,458212.960396733
2.23872113856834,64800,461553.778415962
2.23872113856834,68400,464803.014858036
2.23872113856834,72000,467967.812228558
2.23872113856834,75600,471054.430235442
2.23872113856834,79200,474068.391389421
2.23872113856834,82800,477014.597111422
2.23872113856834,86400,479897.421335668
2.23872113856834,90000,482720.786720617
2.23872113856834,93600,485488.227261573
2.23872113856834,97200,488202.940157933
2.23872113856834,100800,490867.829106508
2.23872113856834,104400,493485.540692072
2.23872113856834,108000,496058.495174468
2.23872113856834,111600,498588.912692059
2.23872113856834,115200,501078.835688987
2.23872113856834,118800,503530.14821078
2.23872113856834,122400,505944.592586723
2.23872113856834,126000,508323.783918932
2.23872113856834,129600,510669.22272056
2.23872113856834,133200,512982.305984118
2.23872113856834,136800,515264.33691181
2.23872113856834,140400,517516.533500342
2.23872113856834,144000,519740.036140764
2.23872113856834,147600,521935.914367964
2.23872113856834,151200,524105.172873185
2.23872113856834,154800,526248.756875494
2.23872113856834,158400,528367.556933699
2.23872113856834,162000,530462.413268238
2.23872113856834,165600,532534.119652564
2.23872113856834,169200,534583.42692518
2.23872113856834,172800,536611.046166462
2.23872113856834,176400,538617.651578429
2.23872113856834,180000,540603.883100621
2.23872113856834,183600,542570.348790928
2.23872113856834,187200,544517.626996588
